Scanning 127.0.0.1 from port 1 to 65535...
Resolved IP: 127.0.0.1
Port 1211: Closed
Port 1212: Closed
Port 1213: Closed
Port 1214: Closed
Port 1215: Closed
Port 1216: Closed
Port 1217: Closed
Port 1218: Closed
Port 1219: Closed
Port 1220: Closed
Port 1221: Closed
Port 1222: Closed
Port 1223: Closed
Port 1224: Closed
Port 1225: Closed
Port 1226: Closed
Port 1227: Closed
Port 1228: Closed
Port 1229: Closed
Port 1230: Closed
Port 1231: Closed
Port 1232: Closed
Port 1233: Closed
Port 1234: Closed
Port 1235: Closed
Port 1236: Closed
Port 1237: Closed
Port 1238: Closed
Port 1239: Closed
Port 1240: Closed
Port 1241: Closed
Port 1242: Closed
Port 1243: Closed
Port 1244: Closed
Port 1245: Closed
Port 1246: Closed
Port 1247: Closed
Port 1248: Closed
Port 1249: Closed
Port 1250: Closed
Port 1251: Closed
Port 1252: Closed
Port 1253: Closed
Port 1254: Closed
Port 1255: Closed
Port 1256: Closed
Port 1257: Closed
Port 1258: Closed
Port 1259: Closed
Port 1260: Closed
Port 1261: Closed
Port 1262: Closed
Port 1263: Closed
Port 1264: Closed
Port 1265: Closed
Port 1266: Closed
Port 1267: Closed
Port 1268: Closed
Port 1269: Closed
Port 1270: Closed
Port 1271: Closed
Port 1272: Closed
Port 1273: Closed
Port 1274: Closed
Port 1275: Closed
Port 1276: Closed
Port 1277: Closed
Port 1278: Closed
Port 1279: Closed
Port 1280: Closed
Port 1281: Closed
Port 1282: Closed
Port 1283: Closed
Port 1284: Closed
Port 1285: Closed
Port 1286: Closed
Port 1287: Closed
Port 1288: Closed
Port 1289: Closed
Port 1290: Closed
Port 1291: Closed
Port 1292: Closed
Port 1293: Closed
Port 1294: Closed
Port 1295: Closed
Port 1296: Closed
Port 1297: Closed
Port 1298: Closed
Port 1299: Closed
Port 1300: Closed
Port 1301: Closed
Port 1302: Closed
Port 1303: Closed
Port 1304: Closed
Port 1305: Closed
Port 1306: Closed
Port 1307: Closed
Port 1308: Closed
Port 1309: Closed
Port 1310: Closed
Port 1311: Closed
Port 1312: Closed
Port 1313: Closed
Port 1314: Closed
Port 1315: Closed
Port 1316: Closed
Port 1317: Closed
Port 1318: Closed
Port 1319: Closed
Port 1320: Closed
Port 1321: Closed
Port 1322: Closed
Port 1323: Closed
Port 1324: Closed
Port 1325: Closed
Port 1326: Closed
Port 1327: Closed
Port 1328: Closed
Port 1329: Closed
Port 1330: Closed
Port 1331: Closed
Port 1332: Closed
Port 1333: Closed
Port 1334: Closed
Port 1335: Closed
Port 1336: Closed
Port 1337: Closed
Port 1338: Closed
Port 1339: Closed
Port 1340: Closed
Port 1341: Closed
Port 1342: Closed
Port 1343: Closed
Port 1344: Closed
Port 1345: Closed
Port 1346: Closed
Port 1347: Closed
Port 1348: Closed
Port 1349: Closed
Port 1350: Closed
Port 1351: Closed
Port 1352: Closed
Port 1353: Closed
Port 1354: Closed
Port 1355: Closed
Port 1356: Closed
Port 1357: Closed
Port 1358: Closed
Port 1359: Closed
Port 1360: Closed
Port 1361: Closed
Port 1362: Closed
Port 1363: Closed
Port 1364: Closed
Port 1365: Closed
Port 1366: Closed
Port 1367: Closed
Port 1368: Closed
Port 1369: Closed
Port 1370: Closed
Port 1371: Closed
Port 1372: Closed
Port 1373: Closed
Port 1374: Closed
Port 1375: Closed
Port 1376: Closed
Port 1377: Closed
Port 1378: Closed
Port 1379: Closed
Port 1380: Closed
Port 1381: Closed
Port 1382: Closed
Port 1383: Closed
Port 1384: Closed
Port 1385: Closed
Port 1386: Closed
Port 1387: Closed
Port 1388: Closed
Port 1389: Closed
Port 1390: Closed
Port 1391: Closed
Port 1392: Closed
Port 1393: Closed
Port 1394: Closed
Port 1395: Closed
Port 1396: Closed
Port 1397: Closed
Port 1398: Closed
Port 1399: Closed
Port 1400: Closed
Port 1401: Closed
Port 1402: Closed
Port 1403: Closed
Port 1404: Closed
Port 1405: Closed
Port 1406: Closed
Port 1407: Closed
Port 1408: Closed
Port 1409: Closed
Port 1410: Closed
Port 1411: Closed
Port 1412: Closed
Port 1413: Closed
Port 1414: Closed
Port 1415: Closed
Port 1416: Closed
Port 1417: Closed
Port 1418: Closed
Port 1419: Closed
Port 1420: Closed
Port 1421: Closed
Port 1422: Closed
Port 1423: Closed
Port 1424: Closed
Port 1425: Closed
Port 1426: Closed
Port 1427: Closed
Port 1428: Closed
Port 1429: Closed
Port 1430: Closed
Port 1431: Closed
Port 1432: Closed
Port 1433: Closed
Port 1434: Closed
Port 1435: Closed
Port 1436: Closed
Port 1437: Closed
Port 1438: Closed
Port 1439: Closed
Port 1440: Closed
Port 1441: Closed
Port 1442: Closed
Port 1443: Closed
Port 1444: Closed
Port 1445: Closed
Port 1446: Closed
Port 1447: Closed
Port 1448: Closed
Port 1449: Closed
Port 1450: Closed
Port 1451: Closed
Port 1452: Closed
Port 1453: Closed
Port 1454: Closed
Port 1455: Closed
Port 1456: Closed
Port 1457: Closed
Port 1458: Closed
Port 1459: Closed
Port 1460: Closed
Port 1461: Closed
Port 1462: Closed
Port 1463: Closed
Port 1464: Closed
Port 1465: Closed
Port 1466: Closed
Port 1467: Closed
Port 1468: Closed
Port 1469: Closed
Port 1470: Closed
Port 1471: Closed
Port 1472: Closed
Port 1473: Closed
Port 1474: Closed
Port 1475: Closed
Port 1476: Closed
Port 1477: Closed
Port 1478: Closed
Port 1479: Closed
